1,1,285000,15,45000,10/2025
2,2,540000,24,75000,10/2025
3,3,264000,9,36000,10/2025
4,4,525000,18,66000,10/2025
5,5,345000,21,51000,10/2025
6,6,480000,12,60000,10/2025
7,7,585000,21,84000,10/2025
8,8,435000,15,51000,10/2025
9,9,330000,18,48000,10/2025
10,10,420000,9,48000,10/2025
11,11,555000,27,78000,10/2025
12,12,495000,18,63000,10/2025
13,13,276000,12,39000,10/2025
14,14,405000,15,45000,10/2025
15,15,570000,24,81000,10/2025
16,16,444000,15,54000,10/2025
17,17,288000,6,42000,10/2025
18,18,414000,12,49500,10/2025
19,19,546000,21,72000,10/2025
20,20,474000,15,57000,10/2025
